"name","ocean_file","wind_file","lon","lat","object_type"
"DifObj1","AmirDL/Data6/*.nc","AmirDL/Data6/wind/*.nc",-56.340792,45.79697,1
"DifObj2","AmirDL/Data6/*.nc","AmirDL/Data6/wind/*.nc",-56.340792,45.79697,2
"DifObj3","AmirDL/Data6/*.nc","AmirDL/Data6/wind/*.nc",-56.340792,45.79697,3
"DifObj4","AmirDL/Data6/*.nc","AmirDL/Data6/wind/*.nc",-56.340792,45.79697,4
"DifObj5","AmirDL/Data6/*.nc","AmirDL/Data6/wind/*.nc",-56.340792,45.79697,5
"DifObj6","AmirDL/Data6/*.nc","AmirDL/Data6/wind/*.nc",-56.340792,45.79697,6
"DifObj7","AmirDL/Data6/*.nc","AmirDL/Data6/wind/*.nc",-56.340792,45.79697,7
"DifObj8","AmirDL/Data6/*.nc","AmirDL/Data6/wind/*.nc",-56.340792,45.79697,8
"DifObj9","AmirDL/Data6/*.nc","AmirDL/Data6/wind/*.nc",-56.340792,45.79697,9
"DifObj10","AmirDL/Data6/*.nc","AmirDL/Data6/wind/*.nc",-56.340792,45.79697,10
"DifObj11","AmirDL/Data6/*.nc","AmirDL/Data6/wind/*.nc",-56.340792,45.79697,11
"DifObj12","AmirDL/Data6/*.nc","AmirDL/Data6/wind/*.nc",-56.340792,45.79697,12
"DifObj13","AmirDL/Data6/*.nc","AmirDL/Data6/wind/*.nc",-56.340792,45.79697,13
"DifObj14","AmirDL/Data6/*.nc","AmirDL/Data6/wind/*.nc",-56.340792,45.79697,14
"DifObj15","AmirDL/Data6/*.nc","AmirDL/Data6/wind/*.nc",-56.340792,45.79697,15
"DifObj16","AmirDL/Data6/*.nc","AmirDL/Data6/wind/*.nc",-56.340792,45.79697,16
"DifObj17","AmirDL/Data6/*.nc","AmirDL/Data6/wind/*.nc",-56.340792,45.79697,17
"DifObj18","AmirDL/Data6/*.nc","AmirDL/Data6/wind/*.nc",-56.340792,45.79697,18
"DifObj19","AmirDL/Data6/*.nc","AmirDL/Data6/wind/*.nc",-56.340792,45.79697,19
"DifObj20","AmirDL/Data6/*.nc","AmirDL/Data6/wind/*.nc",-56.340792,45.79697,20
"DifObj21","AmirDL/Data6/*.nc","AmirDL/Data6/wind/*.nc",-56.340792,45.79697,21
"DifObj22","AmirDL/Data6/*.nc","AmirDL/Data6/wind/*.nc",-56.340792,45.79697,22
